Fecha,Lote,Anio,Finca,N_Dumas,Fosforo,Azufre,Cloruros,Calcio,Magnesio,Potasio,Sodio,Boro,Hierro,Manganeso,Cobre,Zinc,Molibdeno,Aluminio
23/06/2026,2,2026,Buenavista,2.38,0.25,0.21,8258,0.51,0.1861,3.37,250,10.5,70.1,462,6.22,17.9,1.4,11.8
23/06/2026,9,2026,Gaira,2.12,0.2,0.19,7233,0.45,0.2598,3.02,250,10.8,65.5,403,5.75,17.8,1.4,11.2
23/06/2026,4,2026,Gaira,2.33,0.2,0.18,7553,0.5,0.2267,3.28,250,11.3,66.4,496,6.33,18.7,1.4,8.28
23/06/2026,38,2026,Tabano,2.24,0.17,0.18,9486,0.49,0.2524,3.56,250,11.8,79.6,510,6.03,24,1.4,14.3
23/06/2026,8,2026,Tabano,2.3,0.18,0.2,8489,0.5,0.1721,3.33,250,11.5,81.8,593,5.49,19.8,1.4,19.1
23/06/2026,18,2026,Venecia,2.07,0.25,0.24,6744,0.45,0.2322,3.08,250,11.8,62.5,671,5.92,27,1.4,8.82
23/06/2026,9,2026,Venecia,2.11,0.19,0.21,8226,0.45,0.2156,3.66,250,12.2,77.4,626,6.2,33.8,1.4,14.9
23/06/2026,4,2026,Venecia,2.4,0.16,0.19,6823,0.54,0.2323,3.29,250,12.8,71.6,717,6.7,26.9,1.4,10.2
,9,2024,Gaira,1.94,0.19,0.11,,0.435,0.245,2.72,,15.6,41.6,376.2,7.9,17.2,,
,4,2024,Gaira,2.1,0.15,0.1,,0.43,0.21,2.42,,13.6,36.1,375.4,7.7,17.7,,
,38,2024,Tabano,2.19,0.19,0.12,,0.37,0.22,3.61,,17.2,53.4,366.7,8.4,14.4,,
,8,2024,Tabano,1.97,0.24,0.13,,0.32,0.18,3.43,,25.71,40.55,442.12,7.1,22.83,,
,18,2024,Venecia,2.01,0.215,0.105,,0.31,0.2,3.62,,13.57,52.115,455.08,10.32,18.905,,
,9,2024,Venecia,2.21,0.215,0.12,,0.39,0.21,4.19,,15.49,45.12,506.06,8.875,14.265,,
,4,2024,Venecia,2.25,0.16,0.09,,0.29,0.17,2.47,,14.75,32.04,447.61,7.15,5.65,,
