Finca,Lote,N_Dumas,Fosforo,Azufre,Cloruros,Calcio,Magnesio,Potasio,Sodio,Boro,Hierro,Manganeso,Cobre,Zinc,Molibdeno,Aluminio
Venecia,Lote 2,2.01,0.14,0.09,,0.29,0.18,2.84,,17.1,35,518,7.52,6.39,,
Venecia,Lote 4,2.25,0.16,0.09,,0.29,0.17,2.47,,14.75,32,448,7.15,5.65,,
Venecia,Lote 6,2.23,0.2,0.11,,0.39,0.2,3.81,,31,48,587,8.97,8.76,,
Venecia,Lote 8,2.19,0.21,0.13,,0.41,0.21,3.94,,15.12,47,560,8.96,13.47,,
Venecia,Lote 10,2.23,0.22,0.11,,0.37,0.21,4.44,,15.86,43,452,8.79,15.06,,
Venecia,Lote 12,2.13,0.16,0.11,,0.33,0.19,3.74,,14.08,49,585,8.79,17.16,,
Venecia,Lote 18A,2.11,0.19,0.1,,0.31,0.2,3.83,,13.62,56,434,10.22,17.58,,
Venecia,Lote 18B,1.91,0.24,0.11,,0.31,0.2,3.41,,13.52,48,476,10.42,20.23,,
Venecia,Lote 20,1.94,0.2,0.1,,0.37,0.22,3.58,,16.59,48,405,9.42,17.95,,
Tabano,Lote 2,2.16,0.31,0.1,,0.28,0.18,3.11,,15.08,42,508,6.43,17.76,,
Tabano,Lote 4,1.88,0.2,0.09,,0.35,0.15,3.38,,17.8,36,373,5.53,15.63,,
Tabano,Lote 8,1.97,0.24,0.13,,0.32,0.18,3.43,,25.71,41,442,7.1,22.83,,
Tabano,Lote 10,1.96,0.21,0.1,,0.33,0.17,2.58,,19.29,39,412,6.46,18.1,,
Tabano,Lote 12,2.22,0.24,0.13,,0.37,0.2,3.43,,17.1,44,390,7.21,20.71,,
Tabano,Lote 14,2.07,0.22,0.11,,0.33,0.22,3.05,,22.97,46,421,7.28,19.92,,
Tabano,Lote 16,2.01,0.2,0.11,,0.45,0.22,3.84,,10.02,44,377,5.93,18.09,,
Tabano,Lote 18,2.21,0.28,0.11,,0.37,0.21,3.59,,13.91,45,299,7.59,14.55,,
Tabano,Lote 20,1.99,0.19,0.1,,0.34,0.22,3.83,,12.01,40,370,6.46,15.57,,
Tabano,Lote 22,2.13,0.17,0.09,,0.31,0.16,2.5,,9.95,45,529,4.61,12.62,,
Tabano,Lote 32,1.77,0.18,0.1,,0.41,0.2,3.02,,15.17,40,301,5.28,14.78,,
Tabano,Lote 34,2.06,0.17,0.1,,0.43,0.18,2.89,,16.34,43,348,5.43,13.59,,
Tabano,Lote 36,2.17,0.23,0.11,,0.41,0.22,3.93,,12.88,50,283,8.14,15.46,,
Tabano,Lote 38,2.19,0.19,0.12,,0.37,0.22,3.61,,17.15,53,367,8.4,14.4,,
Tabano,Lote 40,2.07,0.13,0.08,,0.28,0.14,2.38,,15.78,30,385,6.47,5.92,,
Gaira,Lote 2,2.14,0.24,0.12,,0.51,0.25,3.01,,14.47,48,480,9.91,23.55,,
Gaira,Lote 4,2.1,0.15,0.1,,0.43,0.21,2.42,,13.64,36,375,7.73,17.67,,
Gaira,Lote 6,2.14,0.13,0.09,,0.34,0.17,1.87,,11.79,31,288,7.56,14.42,,
Gaira,Lote 8,1.89,0.17,0.1,,0.46,0.25,2.86,,19.29,39,341,7.43,16.54,,
Gaira,Lote 10,1.99,0.21,0.12,,0.41,0.24,2.58,,11.92,44,411,8.34,17.9,,
