Finca,Lote,ID,Textura,arcilla ,limo,arena,ce,ph,MO ,N ,P ,Ca ,Mg ,K ,Na,Boro (mg/kg),Fe,Mn,Cu,Zn,Acidez_int,Al,CIC EFECTIVA,C_N,SAT_Ca,SAT_Mg,SAT_K,SAT_Al,Ca_Mg,Mg_K,Ca_Mg_K,Ca_K,CC,PMP,Agua_Dispo,Cond_hid,da
TABANO,9,TAB1,Franco limosa arcillosa,38,48,14,121.5,6.15,2.52,1575.75,45.44,13.35,3.14,1.03,0.06,1.01,124.54,12.3,4.53,4.56,0,0.01,17.59,9.29,75.89539511,17.85105173,5.855599773,0.056850483,4.251592357,3.048543689,16.00970874,12.96116505,38.59627663,23.1658192,15.43045743,4.645690766,1.303842591
TABANO,5,TAB2,Franco arcillosa,32,42,26,87.98,5.44,1.66,1225.34,44.14,10.87,1.84,0.51,0.05,0.53,80.25,25.52,2.74,3.95,0.03,0.03,13.3,7.87,81.72932331,13.83458647,3.834586466,0.22556391,5.907608696,3.607843137,24.92156863,21.31372549,34.65348869,19.82758,14.82590869,4.389492285,1.417606458
TABANO,29,TAB3,Franco arcillosa,31,44,25,81.79,4.96,1.4,998.22,19.63,8.15,1.94,0.89,0.05,0.37,146.91,16.93,4.02,2.29,0.67,0.67,11.7,8.12,69.65811966,16.58119658,7.606837607,5.726495726,4.201030928,2.179775281,11.33707865,9.157303371,34.24346232,19.175272,15.06819032,4.300070294,1.432049254
GAIRA,6,GAI4,Arcillosa,40,38,22,143.7,4.81,3.52,2302,21.92,15.84,7.84,1.18,0.15,0.54,199.75,71.82,7.05,3.43,1.04,1.04,26.05,8.88,60.80614203,30.09596929,4.52975048,3.992322457,2.020408163,6.644067797,20.06779661,13.42372881,38.74012595,24.583888,14.15623795,4.523365376,1.299580033
TABANO,37,TAB5,Franco arcillosa,31,43,26,133.8,4.5,2.36,1651.45,79.74,6.82,1.67,1.03,0.04,0.58,323.3,33.07,4.88,6.87,1.6,1.6,11.16,8.27,61.11111111,14.96415771,9.229390681,14.33691756,4.083832335,1.621359223,8.242718447,6.621359223,34.69187382,19.537792,15.15408182,5.945886064,1.382376009
TABANO,36,TAB6,Franco arcillosa,31,42,27,47.6,4.99,1.86,1351.88,64.32,7.16,1.53,0.87,0.04,0.55,224.99,15.43,4.18,4.9,1.17,1.17,10.77,8,66.48096565,14.20612813,8.077994429,10.86350975,4.679738562,1.75862069,9.988505747,8.229885057,34.22934862,19.3586752,14.87067342,5.046260603,1.41385223
VENECIA,2,VEN7,Franco arcillosa,31,37,32,131.1,4.84,2.33,1732.56,12.9,13.97,5.45,1.18,0.09,0.69,166.43,47.61,6.24,3.91,0.74,0.74,21.43,7.81,65.1889874,25.43163789,5.50629958,3.453103126,2.563302752,4.618644068,16.45762712,11.83898305,33.80559515,19.5863218,14.21927335,5.748263826,1.408137426
VENECIA,4,VEN8,Franco arcillosa,39,36,25,136.3,4.48,1.84,1360,25.58,14.13,6.06,1.13,0.1,0.74,174.48,59.12,7.49,4.15,2.41,2.41,23.83,7.86,59.29500629,25.43013009,4.741921947,10.11330256,2.331683168,5.362831858,17.86725664,12.50442478,37.66287413,23.7151168,13.94775733,2.745423851,1.38009447
GAIRA,11,GAI9,Arcillo limosa,40,43,17,98.2,5.78,2.54,1720,14.79,17.8,7.16,0.9,0.15,0.53,104.46,20.21,6.12,2.79,0.01,0.01,26.02,8.56,68.40891622,27.51729439,3.458877786,0.038431975,2.48603352,7.955555556,27.73333333,19.77777778,38.93758103,24.28099,14.65659103,3.888156351,1.311969367
VENECIA,18,GAI10,Franco arcillosa,36,41,23,113.3,4.53,2.18,1381,20.31,9.26,4.54,0.83,0.11,0.77,195.65,49.35,5.39,3.92,2.01,2.01,16.75,9.15,55.28358209,27.10447761,4.955223881,12,2.039647577,5.469879518,16.62650602,11.15662651,36.8450509,22.14691,14.6981409,4.000334754,1.366602273
GAIRA,1,GAI11,Franco arcillosa,39,40,21,137.4,5.01,3.56,2311,28.41,16.36,7.79,0.89,0.11,0.73,190.08,53.1,6.29,8.56,0.48,0.48,25.63,8.93,63.83144752,30.39406945,3.472493172,1.872805306,2.10012837,8.752808989,27.13483146,18.38202247,38.52268153,24.049912,14.47276953,5.097882241,1.292652987
TABANO,17,TAB12,Franco arcillosa,33,41,26,78.21,5.16,2.83,1982.39,24.24,13.61,4.18,0.96,0.07,1.19,268.21,28.39,8.22,4.74,0.63,0.63,19.45,8.27,69.97429306,21.49100257,4.935732648,3.23907455,3.255980861,4.354166667,18.53125,14.17708333,35.70117473,20.7797878,14.92138693,5.909699867,1.354235704
VENECIA,7,VEN13,Franco limosa arcillosa,37,44,19,87.5,5,1.75,1117,30.83,7.88,3.22,1.71,0.06,0.43,142.65,35.47,3.9,2.52,0.71,0.71,13.58,9.07,58.02650957,23.71134021,12.59204713,5.228276878,2.447204969,1.883040936,6.49122807,4.608187135,37.50853833,22.5277156,14.98082273,3.413808199,1.365585688
